character,count,selected_count,train_count,test_count,val_count,id
Miqo'te,1655,1452,1162,145,145,150
Yuuki Asuna,1575,1448,1158,145,145,151
Hibiki (Kantai Collection),1504,1441,1153,144,144,152
Kashima (Kantai Collection),1489,1422,1138,142,142,153
Skadi,1574,1421,1137,142,142,154
Barbara Pegg,1478,1409,1127,141,141,155
Shielder (Fate/Grand Order),1571,1400,1120,140,140,156
Shirogane Noel,1463,1395,1116,140,139,157
Nakano Miku,1479,1392,1114,139,139,158
Hoshino Ai,1597,1388,1110,139,139,159
Surtr (Arknights),1543,1385,1108,138,139,160
Unicorn (Azur Lane),1443,1378,1102,138,138,161
Oozora Subaru,1433,1372,1098,137,137,162
Nakano Azusa,1510,1344,1075,134,135,163
Haruno Sakura,1748,1340,1072,134,134,164
Matou Sakura,1467,1330,1064,133,133,165
Mikasa Ackerman,1648,1327,1062,133,132,166
Nakasu Kasumi,1419,1327,1062,133,132,167
Alice Margatroid,2637,1322,1058,132,132,168
Haruna (Kantai Collection),1382,1322,1058,132,132,169
Hestia (DanMachi),1402,1320,1056,132,132,170
Sirius (Azur Lane),1369,1319,1055,132,132,171
Inubashiri Momiji,1532,1316,1053,132,131,172
Hyuuga Hinata,1581,1313,1050,131,132,173
United States,1981,1306,1045,131,130,174
Atago,1372,1304,1043,130,131,175
Kuchiki Rukia,1758,1303,1042,130,131,176
Megumin,1490,1296,1037,130,129,177
Frieren,1511,1280,1024,128,128,178
Hamakaze (Kantai Collection),1336,1277,1022,128,127,179
Mori Calliope,1366,1276,1021,128,127,180
Kafka (Honkai Star Rail),1398,1271,1017,127,127,181
Mei (Pokﾃｩmon),1356,1271,1017,127,127,182
Taihou,1314,1260,1008,126,126,183
Akagi (Kantai Collection),1365,1256,1005,126,125,184
Hakui Koyori,1305,1254,1003,125,126,185
Todoroki Shouto,1573,1240,992,124,124,186
Hibari Kyoya,1984,1231,985,123,123,187
Yuuki Setsuna,1320,1229,983,123,123,188
Tsukatsuki Rio,1315,1229,983,123,123,189
Akiyama Mio,1409,1224,979,122,123,190
Nakano Nino,1309,1220,976,122,122,191
Tsukino Mito,1363,1218,974,122,122,192
Gudako,1363,1198,958,120,120,193
Kongou,1271,1196,957,120,119,194
Sparkle,1406,1193,954,119,120,195
Ayanami Rei,1410,1189,951,119,119,196
Daiwa Scarlet,1189,1169,935,117,117,197
Archer (Ishtar),1264,1168,934,117,117,198
Ousaka Shizuku,1250,1165,932,116,117,199
KAITO,1553,1164,931,116,117,200
Uehara Ayumu,1242,1162,930,116,116,201
Izumi Sagiri,1312,1157,926,116,115,202
Miura Azusa,1385,1155,924,116,115,203
Nico Robin,1518,1153,922,115,116,204
Shibuya Rin,1269,1153,922,115,116,205
Caster (Nero Claudius),1179,1138,910,114,114,206
Dark Magician Girl,1256,1136,909,114,113,207
Ohara Mari,1231,1136,909,114,113,208
Kaga (Kantai Collection),1236,1133,906,113,114,209
Hoshii Miki,1248,1126,901,113,112,210
Moriya Suwako,1330,1124,899,112,113,211
Kazami Yuuka,1440,1121,897,112,112,212
Ookami Mio,1180,1113,890,111,112,213
Ouro Kronii,1196,1112,890,111,111,214
Sakaki Yuya,1476,1111,889,111,111,215
Oshino Shinobu,1239,1106,885,111,110,216
Prussia,1752,1103,882,110,111,217
Hiiragi Yuzu,1276,1099,879,110,110,218
Misaka Mikoto,1240,1099,879,110,110,219
Lappland,1320,1095,876,110,109,220
Sunaookami Shiroko,1144,1092,874,109,109,221
Serena (Yu-Gi-Oh! ARC-V),1307,1090,872,109,109,222
La+ Darknesss,1140,1083,866,108,109,223
Kurusu Syo,1273,1080,864,108,108,224
Inugami Korone,1151,1076,861,108,107,225
Pretender (Oberon),1508,1070,856,107,107,226
Yoimiya,1161,1070,856,107,107,227
Ryuuge Kisaki,1127,1070,856,107,107,228
Eren Jaeger,1553,1064,851,106,107,229
Gokou Ruri,1203,1062,850,106,106,230
Saber of Red,1241,1060,848,106,106,231
Kasumi Tenjinmon,1184,1058,846,106,106,232
Tartaglia,1237,1056,845,106,105,233
Yuzuriha Inori,1212,1056,845,106,105,234
Saber Bride,1145,1055,844,106,105,235
Cure Peace,1158,1051,841,105,105,236
Russia,1631,1048,838,105,105,237
Lancer of Red,1555,1048,838,105,105,238
Ninomae Ina'nis,1132,1044,835,104,105,239
Tennouji Rina,1219,1042,834,104,104,240
Midoriya Izuku,1532,1039,831,104,104,241
Monkey D. Luffy,1867,1038,830,104,104,242
Takagaki Kaede,1084,1031,825,103,103,243
Wanderer (Genshin Impact),1305,1025,820,102,103,244
Bakugou Katsuki,1573,1024,819,102,103,245
Citlali,1136,1022,818,102,102,246
Gilgamesh,1298,1020,816,102,102,247
Vinsmoke Sanji,1569,1019,815,102,102,248
Furina de Fontaine,1195,1018,814,102,102,249
Violet Evergarden (Character),1145,1006,805,101,100,250
Yamato (Kantai Collection),1119,1001,801,100,100,251
Saber (Miyamoto Musashi),1107,1000,800,100,100,252
Marie (Pokﾃｩmon),1084,999,799,100,100,253
Honma Meiko,1087,995,796,100,99,254
Anarchy Stocking,1207,992,794,99,99,255
Shinjou Akane,1051,991,793,99,99,256
Shinomiya Kaguya,1058,985,788,98,99,257
Tsurumaru Kuninaga,1339,983,786,98,99,258
Sorasaki Hina,1080,983,786,98,99,259
Kagiyama Hina,1161,982,786,98,98,260
Yuudachi,1049,980,784,98,98,261
Lelouch Lamperouge,1251,978,782,98,98,262
W (Arknights),1070,978,782,98,98,263
Murasaki Shion,1017,970,776,97,97,264
Klee,1153,963,770,96,97,265
Makise Kurisu,1074,963,770,96,97,266
Mostima,1069,963,770,96,97,267
Aomine Daiki,1311,960,768,96,96,268
Suigintou,1231,954,763,95,96,269
Berserker (Minamoto-no-Raikou),1091,954,763,95,96,270
Joumae Saori,1021,950,760,95,95,271
Reiuji Utsuho,1171,949,759,95,95,272
Siro,1061,949,759,95,95,273
Rurina,1011,944,755,94,95,274
Enterprise,1032,941,753,94,94,275
Tachibana Makoto,1147,933,746,93,94,276
Natsuiro Matsuri,984,930,744,93,93,277
Robin (Honkai Star Rail),1044,929,743,93,93,278
Kashiwazaki Sena,1001,927,742,93,92,279
Hoshimi Miyabi,1050,921,737,92,92,280
Kagura (Gintama),1162,918,734,92,92,281
Yahagi (Kantai Collection),976,918,734,92,92,282
Ayanami (Azur Lane),977,916,733,92,91,283
Morgan le Fay,1000,915,732,92,91,284
Ittoki Otoya,1106,914,731,91,92,285
Amatsukaze (Kantai Collection),959,914,731,91,92,286
Uchiha Itachi,1365,908,726,91,91,287
Toga Himiko,1020,905,724,90,91,288
Illustrious,960,905,724,90,91,289
Shishiro Botan,942,905,724,90,91,290
Morrigan Aensland,1042,902,722,90,90,291
Shampoo (Ranma ﾂｽ),1029,895,716,90,89,292
Noshiro (Kantai Collection),930,894,715,89,90,293
Hijikata Toushirou,1308,890,712,89,89,294
Akuma Homura,1065,888,710,89,89,295
Agano (Kantai Collection),934,887,710,89,88,296
Kyaru,922,887,710,89,88,297
Kanroji Mitsuri,999,884,707,88,89,298
Yumemi Riamu,932,884,707,88,89,299
Spain,1254,883,706,88,89,300
Kozakura Marry,1035,875,700,88,87,301
Rokudou Mukuro,1320,872,698,87,87,302
BB (Fate/EXTRA),927,872,698,87,87,303
Gasai Yuno,1009,871,697,87,87,304
Cure Sky,935,869,695,87,87,305
Sawada Tsunayoshi,1397,865,692,86,87,306
Yuuki Juudai,1176,861,689,86,86,307
SeeU,1032,858,686,86,86,308
Satono Diamond,913,858,686,86,86,309
Toyosatomimi no Miko,1005,857,686,86,85,310
MEIKO (VOCALOID),1099,855,684,86,85,311
Archer Inferno,917,855,684,86,85,312
Meltlilith,940,853,682,85,86,313
Inoue Orihime,1065,851,681,85,85,314
Lucy Heartfilia,1027,848,678,85,85,315
Barnaby Brooks Jr.,1202,844,675,84,85,316
Mysterious Alter Ego ﾎ・,899,844,675,84,85,317
Kitasan Black,877,840,672,84,84,318
Tsukino Usagi,1109,838,670,84,84,319
Lancer (Fate/strange fake),946,837,670,84,83,320
Takanashi Rikka,930,835,668,84,83,321
Reisalin Stout,926,834,667,83,84,322
Tokai Teio,862,834,667,83,84,323
Bowsette,889,832,666,83,83,324
Rosalina,1039,830,664,83,83,325
Houjuu Nue,992,830,664,83,83,326
Edward Elric,1163,829,663,83,83,327
Tamaki Iroha,872,829,663,83,83,328
Uraraka Ochako,968,827,662,83,82,329
Hong Meiling,941,827,662,83,82,330
Gotou Hitori,914,827,662,83,82,331
Rider of Black,910,825,660,82,83,332
Hirasawa Yui,937,824,659,82,83,333
Kagami Taiga,1157,823,658,82,83,334
Cure Beauty,902,820,656,82,82,335
Konoe Kanata,872,818,654,82,82,336
Suzuya,857,818,654,82,82,337
Berserker (Joan Alter),855,816,653,82,81,338
Kazama Iroha,853,815,652,82,81,339
Kirigaya Kazuto,926,814,651,81,82,340
Ichinose Shiki,850,814,651,81,82,341
Kafuu Chino,841,809,647,81,81,342
Kanzaki Ranko,885,808,646,81,81,343
Narumeia (Granblue Fantasy),843,806,645,81,80,344
Diluc Ragnvindr,926,804,643,80,81,345
Boa Hancock,1129,802,642,80,80,346
Castorice,895,799,639,80,80,347
Lio Fotia,1063,798,638,80,80,348
Jane Doe (Zenless Zone Zero),897,797,638,80,79,349
Enomoto Takane,1045,795,636,80,79,350
Ichinose Tokiya,967,795,636,80,79,351
Siege (Arknights),933,791,633,79,79,352
Mifune Shioriko,840,790,632,79,79,353
Tokisaki Kurumi,927,789,631,79,79,354
Tendou Alice,852,787,630,79,78,355
Trafalgar D. Water Law,1498,786,629,79,78,356
Nagato Yuki,937,785,628,78,79,357
Kotobuki Tsumugi,882,785,628,78,79,358
Assassin (Yu Mei-ren),827,784,627,78,79,359
HK416 (Girls Frontline),823,783,626,78,79,360
Tenryuu (Kantai Collection),852,780,624,78,78,361
Mejiro McQueen,807,779,623,78,78,362
Kasane Teto,980,777,622,78,77,363
Shantae (Character),962,775,620,78,77,364
Kaenbyou Rin,970,773,618,77,78,365
Ryougi Shiki,915,772,618,77,77,366
Kawashiro Nitori,891,771,617,77,77,367
Foreigner (Katsushika Hokusai),930,770,616,77,77,368
Kaburagi T. Kotetsu,1192,769,615,77,77,369
Moon Cancer (BB),818,767,614,77,76,370
Saber Lily,870,763,610,76,77,371
Alastor,1597,762,610,76,76,372
Jinguji Ren,949,761,609,76,76,373
Power,900,759,607,76,76,374
Sonico,866,759,607,76,76,375
Angelina (Arknights),844,756,605,76,75,376
Albedo (Overlord),892,755,604,76,75,377
Jean Gunnhildr,821,752,602,75,75,378
Hijiri Byakuren,853,751,601,75,75,379
Noelle,826,750,600,75,75,380
Judar,1056,749,599,75,75,381
Houraisan Kaguya,866,749,599,75,75,382
Rice Shower,805,748,598,75,75,383
Sailor Venus,870,745,596,74,75,384
Kida Masaomi,1014,744,595,74,75,385
Hatake Kakashi,1473,743,594,74,75,386
Sagisawa Fumika,780,743,594,74,75,387
Prinz Eugen (Kantai Collection),781,742,594,74,74,388
Roronoa Zoro,1299,741,593,74,74,389
Ram (Re:Zero),805,738,590,74,74,390
Shibuya Kanon,794,735,588,74,73,391
Laffey,793,733,586,73,74,392
Merlin (Fate/stay night),846,731,585,73,73,393
Mikazuki Munechika,916,730,584,73,73,394
Caster (Scathach Skadi),773,727,582,73,72,395
Homura (Xenoblade 2),790,725,580,72,73,396
Kaedehara Kazuha,837,722,578,72,72,397
Emma Verde,764,718,574,72,72,398
Hidan,1053,717,574,72,71,399
Takasugi Shinsuke,1016,717,574,72,71,400
Ibuki Suika,895,717,574,72,71,401
Nanami Haruka,881,717,574,72,71,402
Iochi Mari,764,717,574,72,71,403
Fate Testarossa,811,716,573,72,71,404
Foreigner (Yang Guifei),762,716,573,72,71,405
Asaka Karin,752,713,570,71,72,406
Matsuoka Rin,930,710,568,71,71,407
Cure Flora,852,707,566,71,70,408
Assassin (Kama),775,707,566,71,70,409
Akai Haato,745,706,565,71,70,410
Lancer (Fate/EXTRA CCC),782,704,563,70,71,411
Watson Amelia,779,704,563,70,71,412
Kazemaru Ichirouta,929,703,562,70,71,413
Tachibana Kanade,843,703,562,70,71,414
Elsa the Snow Queen,841,702,562,70,70,415
Arlecchino,827,700,560,70,70,416
Caster (Anastasia Nikolaevna Romanova),816,699,559,70,70,417
Berserker (Kiyohime),745,699,559,70,70,418
Midorima Shintarou,932,697,558,70,69,419
Sailor Mercury,807,697,558,70,69,420
Urawa Hanako,726,697,558,70,69,421
Saitou Hajime (Hakuouki),883,696,557,70,69,422
Lancer (Tamamo no Mae),750,694,555,69,70,423
Fujiwara Chika,737,693,554,69,70,424
Higuchi Kaede,735,693,554,69,70,425
Konno Junko,820,691,553,69,69,426
Ningguang,751,691,553,69,69,427
Rider (Artoria Pendragon Alter),726,691,553,69,69,428
Acheron,817,688,550,69,69,429
Sailor Saturn,808,687,550,69,68,430
Aqua (KonoSuba),759,687,550,69,68,431
Belarus,858,684,547,68,69,432
Takao (Azur Lane),718,684,547,68,69,433
Hata no Kokoro,951,682,546,68,68,434
Erza Scarlet,880,682,546,68,68,435
Nanami Chiaki,749,679,543,68,68,436
Assassin (Fate/Prototype: Sougin no Fragments),729,678,542,68,68,437
Cure Happy,757,676,541,68,67,438
Tsunomaki Watame,725,676,541,68,67,439
Ja'far,903,675,540,68,67,440
Ryuuguu Rena,778,674,539,67,68,441
Miyashita Ai,715,674,539,67,68,442
Shimamura Uzuki,703,674,539,67,68,443
Murasakibara Atsushi,894,671,537,67,67,444
Eyjafjalla,752,671,537,67,67,445
Onikata Kayoko,716,670,536,67,67,446
Okita Souji (Hakuouki),829,666,533,67,66,447
Yakumo Ran,810,666,533,67,66,448
Cure Milky,700,665,532,66,67,449
Atago (Kantai Collection),682,665,532,66,67,450
Sailor Mars,778,664,531,66,67,451
Sheryl Nome,822,663,530,66,67,452
Murakumo (Kantai Collection),731,663,530,66,67,453
Taiwan,821,661,529,66,66,454
Mayuzumi Fuyuko,686,661,529,66,66,455
Deidara,944,660,528,66,66,456
Kurosaki Ruri,790,660,528,66,66,457
Touwa Erio,732,660,528,66,66,458
Gita (Granblue Fantasy),738,657,526,66,65,459
Nakano Itsuki,706,657,526,66,65,460
Afuro Terumi,837,656,525,66,65,461
Shizuka Rin,707,656,525,66,65,462
Zelda (Breath of the Wild),776,655,524,66,65,463
Majin Saber,686,653,522,65,66,464
Shana,747,650,520,65,65,465
Ganaha Hibiki,734,650,520,65,65,466
Takanashi Kiara,719,650,520,65,65,467
Sendai (Kantai Collection),699,648,518,65,65,468
Kirino Ranmaru,813,646,517,65,64,469
Sukoya Kana,669,646,517,65,64,470
Archer (Fate/Grand Order),904,644,515,64,65,471
Illyasviel von Einzbern,733,644,515,64,65,472
Kaga (Azur Lane),694,642,514,64,64,473
Pramanix,751,640,512,64,64,474
Nian (Arknights),692,639,511,64,64,475
Minase Iori,702,638,510,64,64,476
Kamui Gakupo,900,636,509,64,63,477
Elaina,732,636,509,64,63,478
Suzumiya Haruhi,760,633,506,63,64,479
Mudrock,696,633,506,63,64,480
Shinomiya Natsuki,823,632,506,63,63,481
Yamashiro (Azur Lane),681,631,505,63,63,482
Kiryu Coco,661,631,505,63,63,483
Saber (Fate/Prototype),722,630,504,63,63,484
D.Va,714,628,502,63,63,485
Shiranui Mai,717,627,502,63,62,486
The Herta,791,625,500,62,63,487
Hijirikawa Masato,751,625,500,62,63,488
Yanfei,661,625,500,62,63,489
Yae Sakura,726,624,499,62,63,490
Lisa Minci,684,622,498,62,62,491
Uchiha Madara,1007,621,497,62,62,492
Lancer (Artoria Pendragon),707,621,497,62,62,493
Allen Walker,964,620,496,62,62,494
Tomioka Giyuu,768,620,496,62,62,495
Rider (Fate/stay night),720,620,496,62,62,496
Shiranui Flare,691,620,496,62,62,497
Nakano Ichika,668,620,496,62,62,498
Lize Helesta,635,616,493,62,61,499
Portgas D. Ace,1013,611,489,61,61,500
Tang Keke,656,610,488,61,61,501
Skadi The Corrupting Heart,704,609,487,61,61,502
Ushio Noa,654,608,486,61,61,503
Okita Sougo,816,607,486,61,60,504
Chitanda Eru,680,605,484,60,61,505
Senjougahara Hitagi,674,604,483,60,61,506
Alice (Alice in Wonderland),812,603,482,60,61,507
Kaneki Ken,1109,602,482,60,60,508
Nakano Yotsuba,655,602,482,60,60,509
Kanna Kamui,635,601,481,60,60,510
Hikari (Xenoblade 2),637,600,480,60,60,511
Yousei-kishi Tristan,677,598,478,60,60,512
Regina (Dokidoki),653,596,477,60,59,513
Ceres Fauna,634,596,477,60,59,514
Shijou Takane,638,595,476,60,59,515
Son Goku (DRAGON BALL),992,594,475,59,60,516
North Italy,830,594,475,59,60,517
Fern,665,594,475,59,60,518
Princess Serenity,730,593,474,59,60,519
Luo Tianyi,730,592,474,59,59,520
Kal'tsit,679,592,474,59,59,521
Ro-500 (Kantai Collection),614,591,473,59,59,522
Kyoyama Kazusa,632,590,472,59,59,523
Matoi Ryuuko,696,589,471,59,59,524
Phosphophyllite,933,588,470,59,59,525
Ciel Phantomhive,877,588,470,59,59,526
Kujou Sara,666,588,470,59,59,527
Rin (Yu-Gi-Oh! ARC-V),703,587,470,59,58,528
Lancer (Fate/stay night),779,582,466,58,58,529
Akagi (Azur Lane),630,582,466,58,58,530
Fushimi Saruhiko,780,581,465,58,58,531
Koakuma,657,581,465,58,58,532
Mikaze Ai,649,581,465,58,58,533
Evelyn Chevalier,643,581,465,58,58,534
Higuchi Madoka,600,581,465,58,58,535
Musashi (Kantai Collection),616,580,464,58,58,536
Maruyama Aya,612,580,464,58,58,537
Rikuhachima Aru,641,579,463,58,58,538
Inkling (Splatoon),899,577,462,58,57,539
Mononobe no Futo,683,576,461,58,57,540
Artoria Caster,635,576,461,58,57,541
Komaeda Nagito,736,575,460,58,57,542
Takao Kazunari,720,575,460,58,57,543
Aerith Gainsborough,683,574,459,57,58,544
Sunazuka Akira,599,574,459,57,58,545
Berserker (Florence Nightingale),659,572,458,57,57,546
Cure Sunny,652,572,458,57,57,547
Takamachi Nanoha,706,571,457,57,57,548
Jinx (League of Legends),713,570,456,57,57,549
Inazuma (Kantai Collection),609,569,455,57,57,550
Kaeya Alberich,661,568,454,57,57,551
Lillie (Pokﾃｩmon),634,568,454,57,57,552
Ruler (Artoria Pendragon),616,568,454,57,57,553
Fudou Yuusei,749,567,454,57,56,554
Tateyama Ayano,737,567,454,57,56,555
Assassin of Black,610,565,452,56,57,556
Nekomiya Hinata,599,565,452,56,57,557
Kibana,791,563,450,56,57,558
Nanase Haruka,718,562,450,56,56,559
Roxy Migurdia,633,561,449,56,56,560
Usagiyama Rumi,750,559,447,56,56,561
Yuuki Makoto,706,559,447,56,56,562
Agatsuma Zenitsu,746,558,446,56,56,563
Rosaria,609,558,446,56,56,564
Yoko Littner,709,553,442,55,56,565
March 7th,645,553,442,55,56,566
Kaku Seiga,635,553,442,55,56,567
France,842,551,441,55,55,568
Silver Wolf,739,550,440,55,55,569
Rimuru Tempest,622,550,440,55,55,570
Sebastian Michaelis,931,549,439,55,55,571
Sendou Aichi,663,549,439,55,55,572
Asui Tsuyu,647,549,439,55,55,573
Archer (Joan of Arc),568,549,439,55,55,574
Cure March,624,548,438,55,55,575
Nagato (Kantai Collection),584,548,438,55,55,576
Rias Gremory,581,548,438,55,55,577
Arima Kana,657,547,438,55,54,578
Albedo (Genshin Impact),683,546,437,55,54,579
Hoshiguma,635,546,437,55,54,580
Reze,697,545,436,54,55,581
Amami Haruka,608,545,436,54,55,582
Kamado Tanjirou,733,543,434,54,55,583
Gokudera Hayato,764,542,434,54,54,584
Cammy White,623,542,434,54,54,585
Ruby Rose,671,541,433,54,54,586
Majin Archer,699,540,432,54,54,587
Plana,565,540,432,54,54,588
Hyakumantenbara Salome,564,540,432,54,54,589
China,795,538,430,54,54,590
Ranka Lee,640,538,430,54,54,591
Nanjamo,597,538,430,54,54,592
Tokino Sora,571,538,430,54,54,593
Zuihou (Kantai Collection),569,538,430,54,54,594
Izumi Konata,638,537,430,54,53,595
Alice Schuberg,604,537,430,54,53,596
Amaimon,854,536,429,54,53,597
Hoshimiya Ichigo,602,535,428,54,53,598
Ruan Mei,601,535,428,54,53,599
FEater (Arknights),575,535,428,54,53,600
Futaba Anzu,594,534,427,53,54,601
Rider (Marie Antoinette),602,533,426,53,54,602
Dazai Osamu,711,530,424,53,53,603
Hayami Kanade,571,530,424,53,53,604
Nagisa Kaworu,690,527,422,53,52,605
Chrome Dokuro,683,527,422,53,52,606
Morgiana,606,527,422,53,52,607
Eishin Flash,535,526,421,53,52,608
Saitou (Pokﾃｩmon),577,523,418,52,53,609
